PCA1,PCA2,cluster,exam_score
1.8970283119148261,-3.0993055714945164,1,100
0.005969622114335534,2.1239556226104317,0,99
0.7678271296352284,2.010167787297867,0,98
0.01926953721489205,-1.996982536986655,1,100
-1.1080488537336577,2.091654401505494,0,98
1.545664263000677,2.209610609118919,0,94
1.6940988394015555,2.614589495183832,0,97
-1.2244790999841924,-0.07281780487641037,1,84
-4.357816248769043,-0.8963541561767848,1,70
0.7004421141402886,-0.0613717457013301,0,100
-2.1742949988549127,-2.369525337941077,1,100
1.22435117353395,0.973770202354162,0,100
3.2143472139146163,0.39069883430225705,0,96
1.2308150220703653,-2.482693412202481,1,83
1.1440957158396554,1.1223505864957353,0,77
-1.0010987942447096,-1.0510649610594855,1,87
1.1893065765900157,2.897113528107563,0,100
0.12052791051892382,-1.0223914367450753,1,93
-0.6022485702280028,-0.1720933168283186,1,88
1.7669194411704288,1.2067682982531533,0,92
-1.897079382430373,-0.16111915515803862,1,60
-1.5682246135803062,0.474549620437667,0,82
3.4767670107503155,1.904103848367756,0,100
0.06987318036722573,0.5902602103374404,0,100
-3.0020251085801752,-3.5103611414251916,1,80
-0.9562245261730858,-0.3516097113023439,1,89
1.384006946228105,1.2559594073572218,0,92
0.06344414209591681,-1.6397826049170243,1,88
-0.28013342415625353,1.4788026372844176,0,95
0.503015408083324,-1.2768455137383785,1,100
4.308867836297701,-1.1111960773017553,1,100
-0.9651816913845289,-1.0556735469909955,1,93
3.3883332320316932,2.000996932942966,0,94
-0.02737429841782718,-0.8081727933804981,1,76
2.217527285118231,0.44340026248029685,0,100
-0.7968978449080518,1.979073422334828,0,89
-1.351469048922369,-1.9660971231628004,1,86
1.0655529591686823,-2.836780693736779,1,100
2.873965122386155,2.1939657373581465,0,100
3.1374836838496805,1.594702282871328,0,100
-0.41485855241651076,-0.45156774276600403,1,80
-1.4779566650036935,2.4687247272083535,0,91
1.5966752080347533,-2.1622176663970407,1,100
0.7548611666307425,-1.5750383052120547,1,96
0.8898475434389705,-2.5743059270921993,1,100
-0.22196436956979418,2.024484143050217,0,78
2.153864734813322,-3.575951878994146,1,99
1.9823682276128236,-0.5005764686199531,1,100
-1.2616823825535073,-1.1932854831402449,1,84
-2.880564003917981,-0.5312611308928609,1,84
-1.0274016923652896,-0.9009611159575186,1,79
-1.846243547489698,-1.499056023152917,1,88
-0.42083102542056544,-0.21818300160651508,1,98
-1.3938049940985353,-0.2426958023301819,1,70
1.9114523209351675,1.0709412799960358,0,100
1.8136831600074168,0.9590264568239202,0,98
-2.9142614445487274,-1.1268116511349242,1,79
1.8874888139206407,0.09377480020136789,0,88
0.6148656630282061,1.3436391274147474,0,96
-0.8359144425984938,-1.3675155271657067,1,100
0.8692145656012576,0.10343759049453104,0,97
-0.4703501200346549,1.1244724291650379,0,100
1.3548117601179044,0.12055667356391077,0,75
0.9254027590965251,-0.9368207759669065,1,96
-0.6467654302617165,-0.8505795970016748,1,99
-1.791256293548576,-1.5478529440117612,1,83
-3.662517792003906,3.138696676338885,0,76
-0.021585060077732678,2.266891635252064,0,79
-0.14366524585876297,0.18923615388095466,0,86
1.6360841794203902,2.809695950486679,0,97
0.18665649946554808,1.7227460652564963,0,96
1.85270750521181,2.5418524719615,0,85
0.8025398478733743,1.941400456648423,0,99
-0.8107205184418244,3.023578268063091,0,100
2.02680807419615,0.44343868033008726,0,100
2.1776889930515266,-2.26057623808504,1,98
1.381711473123596,-1.3993642555016015,1,77
-0.04823272410350852,-0.10052448317098864,1,100
0.40821697862825373,1.1810199984645342,0,100
-1.1219194299968467,2.442562064420021,0,70
-2.4640209759820193,0.11176414593672886,1,96
-1.0303213719729911,-3.1256506662242485,1,100
-1.6359359336096728,-1.3104746237494183,1,53
-2.555918867184264,-1.368607523614081,1,96
1.5086223492492632,-1.9971278227926519,1,100
-0.6540588177769253,1.4504535036934634,0,100
0.9654529799164563,0.1434942174060108,0,100
-1.134798978400332,-0.15548133935080727,1,94
0.05183894265605805,1.2359941917702393,0,75
1.20715701663168,1.737284039645437,0,100
4.287041972761876,-3.0963579089431414,1,94
0.2353390988945887,-1.381821737934911,1,83
1.7939296020468831,1.0104613180328363,0,97
2.198380264767489,-0.5597847828842981,1,96
-1.9270302328795135,-1.3473724075415041,1,73
-0.9536757785591758,3.356205065969461,0,84
2.1012578425619783,-1.3325287085946438,1,97
-1.8042042940032605,1.3044521205807442,0,72
-1.315678420743848,1.3900951446627339,0,88
1.8770537604573203,2.247687436739012,0,92
-0.9745396447053558,1.3639570542609936,0,100
-4.295937841567817,-0.09444299317199888,1,92
-2.9369214946217164,1.052952864125338,0,92
-0.2775254024063911,-2.56836666987147,1,71
3.2630893073256777,1.6978705376227232,0,100
-0.42634093927683275,-1.423243470714212,1,76
-1.0413904509580953,1.159456101153933,0,89
-0.42182913870790856,-0.5303533170804065,1,100
2.2391497696555,0.13484565552066052,0,80
0.923653656597827,-1.1728424313047157,1,94
0.4245213150113285,-0.910919062665104,1,95
-0.9906679864193318,1.1880986932964885,0,93
-0.35518739212326284,2.979261092235879,0,100
-0.43748505952704225,0.6982479865541656,0,100
-3.502798869070037,1.9929778371454947,0,69
-0.49503271065563303,0.7782236202450512,0,65
